corrida_id_corrida,circuito_id_circuito,ano_corrida,rodada_corrida,nome_corrida,data_corrida,circuito_ref_circuito,nome_circuito,localizacao_circuito,pais_circuito,latitude_circuito,longitude_circuito,altitude_circuito
273,30,1993,1,South African Grand Prix,03/14/1993,kyalami,Kyalami,Midrand,South Africa,-259894.0,280767.0,1460.0
274,18,1993,2,Brazilian Grand Prix,03/28/1993,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-237036.0,-466997.0,785.0
275,31,1993,3,European Grand Prix,04/11/1993,donington,Donington Park,Castle Donington,UK,528306.0,-137528.0,88.0
276,21,1993,4,San Marino Grand Prix,04/25/1993,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,443439.0,117167.0,37.0
277,4,1993,5,Spanish Grand Prix,05/09/1993,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,226111.0,109.0
278,6,1993,6,Monaco Grand Prix,05/23/1993,monaco,Circuit de Monaco,Monte-Carlo,Monaco,437347.0,742056.0,7.0
279,7,1993,7,Canadian Grand Prix,06/13/1993,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-735228.0,13.0
280,8,1993,8,French Grand Prix,07/04/1993,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,468642.0,316361.0,228.0
281,9,1993,9,British Grand Prix,07/11/1993,silverstone,Silverstone Circuit,Silverstone,UK,520786.0,-101694.0,153.0
282,10,1993,10,German Grand Prix,07/25/1993,hockenheimring,Hockenheimring,Hockenheim,Germany,493278.0,856583.0,103.0
283,11,1993,11,Hungarian Grand Prix,08/15/1993,hungaroring,Hungaroring,Budapest,Hungary,475789.0,192486.0,264.0
284,13,1993,12,Belgian Grand Prix,08/29/1993,spa,Circuit de Spa-Francorchamps,Spa,Belgium,504372.0,597139.0,401.0
285,14,1993,13,Italian Grand Prix,09/12/1993,monza,Autodromo Nazionale di Monza,Monza,Italy,456156.0,928111.0,162.0
286,27,1993,14,Portuguese Grand Prix,09/26/1993,estoril,Autódromo do Estoril,Estoril,Portugal,387506.0,-939417.0,130.0
287,22,1993,15,Japanese Grand Prix,10/24/1993,suzuka,Suzuka Circuit,Suzuka,Japan,348431.0,136541.0,45.0
288,29,1993,16,Australian Grand Prix,11/07/1993,adelaide,Adelaide Street Circuit,Adelaide,Australia,-349272.0,138617.0,58.0
289,30,1992,1,South African Grand Prix,03/01/1992,kyalami,Kyalami,Midrand,South Africa,-259894.0,280767.0,1460.0
290,32,1992,2,Mexican Grand Prix,03/22/1992,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,194042.0,-990907.0,2227.0
291,18,1992,3,Brazilian Grand Prix,04/05/1992,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-237036.0,-466997.0,785.0
292,4,1992,4,Spanish Grand Prix,05/03/1992,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,226111.0,109.0
293,21,1992,5,San Marino Grand Prix,05/17/1992,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,443439.0,117167.0,37.0
294,6,1992,6,Monaco Grand Prix,05/31/1992,monaco,Circuit de Monaco,Monte-Carlo,Monaco,437347.0,742056.0,7.0
295,7,1992,7,Canadian Grand Prix,06/14/1992,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-735228.0,13.0
296,8,1992,8,French Grand Prix,07/05/1992,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,468642.0,316361.0,228.0
297,9,1992,9,British Grand Prix,07/12/1992,silverstone,Silverstone Circuit,Silverstone,UK,520786.0,-101694.0,153.0
298,10,1992,10,German Grand Prix,07/26/1992,hockenheimring,Hockenheimring,Hockenheim,Germany,493278.0,856583.0,103.0
299,11,1992,11,Hungarian Grand Prix,08/16/1992,hungaroring,Hungaroring,Budapest,Hungary,475789.0,192486.0,264.0
300,13,1992,12,Belgian Grand Prix,08/30/1992,spa,Circuit de Spa-Francorchamps,Spa,Belgium,504372.0,597139.0,401.0
301,14,1992,13,Italian Grand Prix,09/13/1992,monza,Autodromo Nazionale di Monza,Monza,Italy,456156.0,928111.0,162.0
302,27,1992,14,Portuguese Grand Prix,09/27/1992,estoril,Autódromo do Estoril,Estoril,Portugal,387506.0,-939417.0,130.0
303,22,1992,15,Japanese Grand Prix,10/25/1992,suzuka,Suzuka Circuit,Suzuka,Japan,348431.0,136541.0,45.0
304,29,1992,16,Australian Grand Prix,11/08/1992,adelaide,Adelaide Street Circuit,Adelaide,Australia,-349272.0,138617.0,58.0
305,33,1991,1,United States Grand Prix,03/10/1991,phoenix,Phoenix street circuit,Phoenix,USA,334479.0,-112075.0,345.0
306,18,1991,2,Brazilian Grand Prix,03/24/1991,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-237036.0,-466997.0,785.0
307,21,1991,3,San Marino Grand Prix,04/28/1991,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,443439.0,117167.0,37.0
308,6,1991,4,Monaco Grand Prix,05/12/1991,monaco,Circuit de Monaco,Monte-Carlo,Monaco,437347.0,742056.0,7.0
309,7,1991,5,Canadian Grand Prix,06/02/1991,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-735228.0,13.0
310,32,1991,6,Mexican Grand Prix,06/16/1991,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,194042.0,-990907.0,2227.0
311,8,1991,7,French Grand Prix,07/07/1991,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,468642.0,316361.0,228.0
312,9,1991,8,British Grand Prix,07/14/1991,silverstone,Silverstone Circuit,Silverstone,UK,520786.0,-101694.0,153.0
313,10,1991,9,German Grand Prix,07/28/1991,hockenheimring,Hockenheimring,Hockenheim,Germany,493278.0,856583.0,103.0
314,11,1991,10,Hungarian Grand Prix,08/11/1991,hungaroring,Hungaroring,Budapest,Hungary,475789.0,192486.0,264.0
315,13,1991,11,Belgian Grand Prix,08/25/1991,spa,Circuit de Spa-Francorchamps,Spa,Belgium,504372.0,597139.0,401.0
316,14,1991,12,Italian Grand Prix,09/08/1991,monza,Autodromo Nazionale di Monza,Monza,Italy,456156.0,928111.0,162.0
317,27,1991,13,Portuguese Grand Prix,09/22/1991,estoril,Autódromo do Estoril,Estoril,Portugal,387506.0,-939417.0,130.0
318,4,1991,14,Spanish Grand Prix,09/29/1991,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,226111.0,109.0
319,22,1991,15,Japanese Grand Prix,10/20/1991,suzuka,Suzuka Circuit,Suzuka,Japan,348431.0,136541.0,45.0
320,29,1991,16,Australian Grand Prix,11/03/1991,adelaide,Adelaide Street Circuit,Adelaide,Australia,-349272.0,138617.0,58.0
321,33,1990,1,United States Grand Prix,03/11/1990,phoenix,Phoenix street circuit,Phoenix,USA,334479.0,-112075.0,345.0
322,18,1990,2,Brazilian Grand Prix,03/25/1990,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-237036.0,-466997.0,785.0
323,21,1990,3,San Marino Grand Prix,05/13/1990,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,443439.0,117167.0,37.0
324,6,1990,4,Monaco Grand Prix,05/27/1990,monaco,Circuit de Monaco,Monte-Carlo,Monaco,437347.0,742056.0,7.0
325,7,1990,5,Canadian Grand Prix,06/10/1990,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-735228.0,13.0
326,32,1990,6,Mexican Grand Prix,06/24/1990,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,194042.0,-990907.0,2227.0
327,34,1990,7,French Grand Prix,07/08/1990,ricard,Circuit Paul Ricard,Le Castellet,France,432506.0,579167.0,432.0
328,9,1990,8,British Grand Prix,07/15/1990,silverstone,Silverstone Circuit,Silverstone,UK,520786.0,-101694.0,153.0
329,10,1990,9,German Grand Prix,07/29/1990,hockenheimring,Hockenheimring,Hockenheim,Germany,493278.0,856583.0,103.0
330,11,1990,10,Hungarian Grand Prix,08/12/1990,hungaroring,Hungaroring,Budapest,Hungary,475789.0,192486.0,264.0
331,13,1990,11,Belgian Grand Prix,08/26/1990,spa,Circuit de Spa-Francorchamps,Spa,Belgium,504372.0,597139.0,401.0
332,14,1990,12,Italian Grand Prix,09/09/1990,monza,Autodromo Nazionale di Monza,Monza,Italy,456156.0,928111.0,162.0
333,27,1990,13,Portuguese Grand Prix,09/23/1990,estoril,Autódromo do Estoril,Estoril,Portugal,387506.0,-939417.0,130.0
334,26,1990,14,Spanish Grand Prix,09/30/1990,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,367083.0,-603417.0,37.0
335,22,1990,15,Japanese Grand Prix,10/21/1990,suzuka,Suzuka Circuit,Suzuka,Japan,348431.0,136541.0,45.0
336,29,1990,16,Australian Grand Prix,11/04/1990,adelaide,Adelaide Street Circuit,Adelaide,Australia,-349272.0,138617.0,58.0
